feature,importance
L7_cv,0.03372814744717465
L5_cv,0.033625704680405544
R6_cv,0.030129629082828565
L6_cv,0.02960428218284153
R7_cv,0.02401364606142542
R_total_swing_duration_mean,0.021514695768315696
left_right_absdiff_cv,0.020096892072522743
R_total_contact_fraction,0.018579046122777103
R5_cv,0.018341130712881928
R5_median,0.017648621043736858
R8_median,0.01762096396283892
L7_median,0.017034329890982376
R8_cv,0.012925616674789366
L_total_contact_fraction,0.01253272600788418
R_total_cv,0.011732009343746701
L8_cv,0.011603801815929994
L4_cv,0.010480138454434115
R7_median,0.009536094958428292
L5_median,0.008704409307711918
R6_q75,0.008441067761197553
R4_cv,0.007910620190189233
L6_median,0.007816495182318011
L1_max,0.00761486894781205
L_total_swing_duration_mean,0.006669520209960779
R_total_swing_duration_cv,0.006638190008796464
L6_iqr,0.00662677379063987
L1_std,0.0065100341590169485
R5_q75,0.0065064060406725115
L_total_cv,0.006038188355662848
L8_median,0.005983057070063764
R4_median,0.005908205133640794
left_right_diff_median,0.0058255865514727275
R_total_stance_duration_cv,0.005797548378987211
R3_cv,0.0057403338930617194
R1_max,0.00566686044393287
R6_iqr,0.005645926374520027
L3_iqr,0.005618000654510447
R2_cv,0.005586522419476965
R2_q75,0.005577660029303659
R2_std,0.005349079610351409
R7_q75,0.005313941420685166
L_total_delta_rms,0.0052552048623334185
L7_q75,0.005196361345900322
R_total_std,0.005184224213639966
L6_q75,0.005095211590536571
R_total_stance_duration_std,0.005048587329474078
left_right_total_corr,0.005039922822119247
R1_rms,0.005020643273237505
R_total_iqr,0.0050159632164617374
R_total_q75,0.004804781500881324
L1_rms,0.004791167719962439
R1_cv,0.004638512101171645
L_total_stance_rate_hz,0.004561595558584915
L4_median,0.0045570496356787575
R5_iqr,0.004551730743165434
R2_rms,0.004537267752301962
left_right_absdiff_mean,0.004529495914040306
L3_q75,0.0044424696162942475
L1_mean,0.0044275476778501644
L1_q75,0.004377428193998113
R3_q75,0.004377235178428408
R3_iqr,0.0042894495626616905
L7_iqr,0.004236310308796992
L6_mean,0.0041810317613528965
L_total_stance_duration_cv,0.004114362067384393
R_total_median,0.004095805013798205
both_total_iqr,0.00408560120343164
L5_q75,0.004069018921475934
R6_max,0.00404523611426061
R6_median,0.003946767805605754
R6_rms,0.003912269756501072
R7_iqr,0.0038984988182465467
L_total_stance_duration_mean,0.003853059804040946
R1_q75,0.003783479877698738
both_total_cv,0.003782400100564726
L_total_delta_std,0.0037600932472482214
R_total_rms,0.0037459380821912164
L_total_delta_iqr,0.003712280806962865
R1_std,0.003685681170760125
L5_iqr,0.003667626405285671
R_total_swing_duration_std,0.0036419642902960595
R2_mean,0.0036393346564136354
both_total_std,0.0036313625024061566
R5_mean,0.0035710746393040303
R_total_mean,0.003570470713277825
L8_max,0.0035546820873129537
left_right_diff_q25,0.0035406276251064754
L_total_stance_duration_std,0.003530433745240363
L_total_delta_max,0.003456601375410121
both_total_max,0.0034404225824612436
left_right_diff_rms,0.0034367523379157574
R_total_delta_std,0.0034301958776918762
L6_max,0.003414989350049588
R1_mean,0.003403421226253547
L5_max,0.0033516712251877487
L1_iqr,0.0033490388925137716
L5_mean,0.0033359982947760458
R_total_delta_iqr,0.0033089281078406197
R2_iqr,0.0032905529386759768
L7_mean,0.0032208317869625073
R8_std,0.0032001950045944375
L7_rms,0.003196269011559927
left_right_diff_std,0.003184693706250708
R3_mean,0.003144456578195268
R3_rms,0.003139858060147086
L4_q75,0.0031282203933370744
left_right_diff_min,0.003085994779921269
both_total_mean,0.0030797466564979215
L6_std,0.0030583944854278254
R7_mean,0.0030384914687727957
L7_std,0.0029947645147369206
R_total_stance_rate_hz,0.0029859091269467115
R2_max,0.00296523393509653
R_total_delta_max,0.002959606953554444
left_right_mean_ratio,0.002955551616266262
R4_iqr,0.0029374787589825486
L_total_max,0.0029370675369108424
L5_std,0.002932440048102017
R1_iqr,0.0029092106367424662
R5_max,0.0029005982311143663
R_total_delta_q75,0.002897172040263197
R7_std,0.002873200886122025
left_right_absdiff_q75,0.0028116002614924146
L2_cv,0.0027857584411366903
left_right_absdiff_max,0.002781656570552055
R8_q75,0.0027495500384312485
L8_std,0.0027366797049043603
R_total_contact_threshold,0.0027322145747049166
R7_max,0.0027283678716880037
L_total_stance_count,0.0027194453201977815
R5_rms,0.0026915111903363952
R_total_delta_rms,0.0026633643753162604
L_total_contact_threshold,0.0026592093507571916
R5_std,0.0026590580969571395
R3_std,0.002633580257892062
left_right_asymmetry_index,0.0026307788573067576
R6_std,0.002621495943032387
R3_max,0.002606587730037842
L8_q75,0.0025696389672766984
L8_rms,0.002563681909461083
R_total_delta_min,0.0025605816862761884
left_right_absdiff_rms,0.0025506809048454855
L4_iqr,0.002550579509481453
R7_rms,0.002538815177050161
L6_rms,0.0025216197742547446
R8_mean,0.002518652140132559
L_total_delta_mean,0.0024877953970627053
R6_mean,0.0024650535314513122
left_right_absdiff_std,0.0024565245159593897
L_total_delta_q75,0.002444213007893664
left_right_diff_mean,0.002438817635841247
left_right_absdiff_iqr,0.002382354485481187
L5_rms,0.0023643778319232893
R8_rms,0.0023486620633514995
L3_cv,0.0023451281007108014
L_total_swing_duration_std,0.0023404829647236175
L7_max,0.0023298869529252736
L8_mean,0.002308723027044445
R8_iqr,0.0022928287936574638
R4_std,0.0022864547644874536
R4_mean,0.0022562831916842687
R4_max,0.002243225494935354
L2_iqr,0.0021576619344374098
R_total_stance_duration_mean,0.002133411380947672
left_right_absdiff_q25,0.0021114687124362957
sample_count,0.002098223867701705
L_total_q25,0.002088251898919779
L_total_delta_q25,0.002067133256017341
L2_q75,0.002052296750113906
L4_rms,0.0020296596671326326
both_total_rms,0.00200036032143272
R8_max,0.001993562071503902
both_total_q75,0.001987531991642246
L_total_swing_duration_cv,0.001977922466745229
both_total_median,0.0019587689283861323
L_total_rms,0.0019529550577658326
R4_rms,0.0019239614007567662
R_total_delta_q25,0.0019149486922517647
R2_median,0.0019088132449570456
both_total_q25,0.0018954135029139402
L_total_median,0.0018811149993148933
left_right_diff_max,0.0018697401399556687
L3_mean,0.001865286757233813
L2_rms,0.0018543681226246775
R_total_delta_mean,0.0018505712277411988
L3_max,0.0017825626871241132
L3_std,0.001782277791115941
R4_q75,0.0017467566978020667
R_total_delta_cv,0.0017385360747264784
L2_max,0.0017373163159648552
L_total_delta_cv,0.001735738416653527
left_right_absdiff_median,0.0016983970552106693
L2_std,0.0016816367965456517
left_right_diff_cv,0.0016645352122212453
R_total_max,0.001638775980012904
L8_iqr,0.0016245696024458193
L4_max,0.0016205452435244488
R_total_stance_count,0.0015763062655401636
L_total_mean,0.0015454286202162175
L2_mean,0.0015386774734938015
L4_std,0.0015280359053590385
L4_mean,0.0015196613145583284
L_total_q75,0.0014981615000595081
L1_cv,0.0014604462834181165
L_total_delta_min,0.0014153999065349046
left_right_diff_q75,0.0013548682086995177
L1_median,0.0013411218135936955
L_total_iqr,0.0012862310074203977
duration_s,0.0012641462551333342
L3_median,0.001205465716415041
L_total_std,0.0011999873888415217
left_right_diff_iqr,0.001111658431074948
L3_rms,0.0010838219054907705
R_total_q25,0.0010083417335505827
R1_median,0.0010076006031996278
left_right_absdiff_min,0.0009432472523528037
L2_median,0.0009220290876943111
both_total_min,0.0009190091563286593
R7_q25,0.0004407950624595889
R3_median,0.0003257099529037967
R8_q25,0.00021680117003782169
L_total_min,0.0001617932206825498
L_total_delta_median,0.00011412510157886672
R4_q25,9.067839193960883e-05
L4_q25,8.723395690604016e-05
L6_q25,8.493525462489772e-05
R6_q25,4.642821405155959e-05
R1_q25,4.549708144593465e-05
L7_q25,2.7830885037117794e-05
L1_q25,2.659527726879179e-05
L3_q25,2.294394625646128e-05
R_total_delta_median,1.3772479005329822e-18
L2_q25,4.970295187429948e-19
R2_q25,3.793622055109488e-19
R5_q25,0.0
R_total_min,0.0
R8_min,0.0
sampling_hz_est,0.0
L1_min,0.0
L2_min,0.0
L3_min,0.0
L4_min,0.0
L5_min,0.0
L5_q25,0.0
L6_min,0.0
L7_min,0.0
L8_min,0.0
L8_q25,0.0
R1_min,0.0
R2_min,0.0
R3_min,0.0
R3_q25,0.0
R4_min,0.0
R5_min,0.0
R6_min,0.0
R7_min,0.0
total_zero_fraction,0.0
